lsoa21,lad_2021_name,pop,cap,hiw,lcss,w2w,cap_2018,cap_2019,cap_2020,cap_2021,cap_2022,cap_2023,hiw_2019,hiw_2020,hiw_2021,hiw_2022,lcss_2017,lcss_2018,lcss_2019,lcss_2020,lcss_2021,lcss_2022,lcss_2023,lcss_2024,w2w_2016,w2w_2017,w2w_2018,w2w_2019,w2w_2020,w2w_2021,w2w_2022,w2w_2023,x,y,lr,lr1,lr2,lr3,lr4,lr5,lr6,hiw_w2w1,hiw_w2w2,hiw_w2w3,hiw_w2w4,hiw_w2w5,hiw_w2w6,hiw_w2w7,hiw_w2w8,hiw_w2w9,hiw_w2w10,hiw_w2w11,hiw_w2w12,hiw_w2w13,hiw_w2w14,hiw_w2w15,hiw_w2w16,hiw_w2w17,hiw_w2w18,hiw_w2w19,hiw_w2w20,hiw_w2w21,hiw_w2w22,hiw_w2w23,hiw_w2w24,hiw_w2w25,hiw_w2w26,hiw_w2w27,hiw_w2w28,lsoa_name_2011,local_authority_district_code_2019,local_authority_district_name_2019,index_of_multiple_deprivation_imd_score,income_score_rate,employment_score_rate,education_skills_and_training_score,health_deprivation_and_disability_score,crime_score,barriers_to_housing_and_services_score,living_environment_score,income_deprivation_affecting_children_index_idaci_score_rate,income_deprivation_affecting_older_people_idaopi_score_rate,children_and_young_people_sub_domain_score,adult_skills_sub_domain_score,geographical_barriers_sub_domain_score,wider_barriers_sub_domain_score,indoors_sub_domain_score,outdoors_sub_domain_score,min_lr,min_hiw_w2w1,min_jc,wt_dist_cond_cap_ut,wt_dist_cap_ut,gp_dist,ut_201719,c_ut_201719,sh
E01006412,Knowsley,1585,2,11,1,81,0,0,0,1,0,1,0,2,2,7,0,0,0,0,0,0,0,1,14,19,20,13,6,4,3,2,342625.3441,394027.756999999,0,6513.16145508903,25046.4462967723,8613.72060059158,8441.2761446748,8636.16188939545,5514.34934454128,5288.78637920363,4400.59850196019,7900.85394160934,9021.17971557167,3612.86435566677,4996.96556446643,9375.63027225561,10556.6365896369,15980.9752317132,12312.4574858733,12115.338384917,8624.20052670719,15046.5232721601,8766.43659328043,12252.7903731159,3413.2853135126,3000.14684311949,24502.1256734654,11147.9023396487,5472.07368541556,9735.61083976951,8350.92470170602,6723.62292272987,16909.2845709116,4818.70721766438,11423.7050658226,16701.748113333,8850.29521073338,Knowsley 006A,E08000011,Knowsley,70.402,0.466,0.323,73.57,2.238,-0.327,30.358,18.221,0.604,0.475,1.35,0.569,0.54,1.248,0.138,0,5514.34934454128,3612.86435566677,3000.14684311949,-0.00119621703794913,0.000109902796820255,970.080483904228,0.000819000819000819,-0.00783222905307657,58.3
E01006413,Knowsley,1404,43,9,3,97,10,6,1,5,16,5,0,0,3,6,0,1,1,0,1,0,0,0,12,16,26,20,8,3,9,3,342888.2884,393563.9113,0,6907.23976291851,25574.5536269911,8941.95741748096,8773.8415562764,8696.92760190876,5029.12876083343,5393.82697296107,4715.60435946894,7840.2859250312,8930.43780664992,3079.90963238243,5521.9810410796,8859.01212240066,10966.7717318472,15468.1462330184,11799.1137061578,12159.9002370596,8446.09516586464,14829.2636493671,8618.71566659678,11738.631601166,2880.11410785405,2872.39349664827,25029.8714270963,11565.3238175336,4992.40665502795,9341.22739474454,8689.336041111,6881.00045042121,16983.8614600529,5336.82187328372,11467.5537098336,16178.2321261442,8880.57726568177,Knowsley 006B,E08000011,Knowsley,75.149,0.462,0.406,77.61,2.431,0.284,32.524,17.904,0.395,0.566,1.394,0.591,0.668,1.258,0.021,0.169,5029.12876083343,3079.90963238243,2872.39349664827,-0.00124207301434455,0.000108805034179534,547.724187563628,0.000819000819000819,-0.00783222905307657,80
E01006414,Knowsley,1402.33333333333,15,4,0,68,0,0,4,10,0,1,0,1,2,1,0,0,0,0,0,0,0,0,7,12,16,8,15,2,7,1,342825.8686,393274.5699,0,6951.78754858431,25820.8020614165,8934.62951931706,8769.74775404924,8537.43333145576,4745.30103479769,5263.37911680812,4710.17934669709,7628.98583721662,8706.31875416079,2859.05153116414,5774.68548970867,8596.27503398141,11019.2881756968,15312.7974848442,11643.8565912438,11989.6907591919,8570.30777819864,14926.3751871328,8758.57679737115,11581.9182144451,2668.47322834684,2650.791018829,25276.9056465436,11623.5763893721,4706.45356177116,9045.35857386666,8689.45566760977,6773.63333449236,16825.4003504024,5598.12411773519,11297.4875765598,16001.1380962302,8706.71764517723,Knowsley 006C,E08000011,Knowsley,56.425,0.335,0.271,53.388,2.148,-0.057,21.177,21.801,0.36,0.425,0.755,0.528,-0.065,1.191,0.3,0.096,4745.30103479769,2859.05153116414,2650.791018829,-0.0014060365832759,0.000108232395081229,262.547098730813,0.000819000819000819,-0.00783222905307657,49.7
E01006415,Knowsley,2002,5,4,0,101,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,17,18,21,21,9,6,6,3,341080.96,397839.367000001,0,5089.95058132131,20934.0399069613,7525.3557912098,7332.92800334865,9738.8365038286,9537.25802515104,6639.74514829453,4519.86576463243,9858.13075721289,11063.7783087112,7715.21378344781,917.213050652434,13470.2780734592,8390.1783332829,19829.2981627772,16181.6541432671,13060.0023595828,10396.7291427782,16748.0337288977,10325.9438698726,16129.0501979562,7507.96802732791,6072.08103294053,20389.9967869813,8856.28856631385,9479.65038667455,13352.382867401,7196.0517330718,7408.46666014723,17426.2323826314,886.163906668291,12415.3724617025,20647.727455562,10138.8606995089,Knowsley 003A,E08000011,Knowsley,41.885,0.247,0.204,41.28,1.406,0.432,17.235,27.295,0.246,0.36,0.654,0.458,0.018,-0.005,0.411,0.487,5089.95058132131,917.213050652434,886.163906668291,-0.00136552933376143,9.6069887634111e-05,1714.98828984116,0,0,24.3
E01006416,Knowsley,1506.66666666667,6,1,0,94,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,18,16,17,17,7,8,3,8,342114.7515,397508.771400001,0,5958.82307220257,21636.0881537299,8394.66651449689,8202.23348529017,10204.5548116723,9031.15183149018,6964.61050817785,5016.94911283907,10114.5946497142,11315.0250732214,7026.78123756701,1670.56149716426,12873.1992500324,9421.26359267218,18915.1522276835,15283.2133023535,13602.5049763354,9313.60879806611,15676.2007436947,9248.2370098504,15233.5509827841,6808.16594896156,5913.40345440674,21087.6057235662,9902.2760528471,8986.47174761173,13096.6730026116,8070.8101197076,7917.7312514946,18088.6884352311,1389.54431987178,12941.2306166201,19774.5916932932,10567.2784597771,Knowsley 005A,E08000011,Knowsley,63.536,0.376,0.308,73.687,1.722,-0.417,20.181,33.747,0.399,0.442,1.298,0.579,-0.113,1.086,0.833,0.133,5958.82307220257,1670.56149716426,1389.54431987178,-0.00136050991327909,9.74015393197341e-05,1922.92511773244,0,0,39.3
E01006417,Knowsley,1269,23,2,1,81,0,0,6,13,0,4,0,1,1,0,0,0,0,0,0,1,0,0,14,23,17,13,2,4,4,4,341474.5373,397421.9691,0,5319.99643257835,21467.5031277381,7757.29584345256,7564.77508714214,9691.76759721601,9046.73682621783,6505.50826632679,4479.6480564712,9693.04557609455,10897.4194874588,7173.45635137245,1413.09196652099,12955.8439775047,8782.48664733665,19256.3190630724,15609.4729674145,13062.5779835853,9917.3181127483,16297.9457248036,9863.8638796402,15557.071163723,6963.48159659079,5700.51743560095,20922.2367067537,9268.51896547762,8993.09960863794,12954.1683670043,7432.44014101386,7384.50309478344,17508.0417421922,1261.53347086663,12407.2246210655,20077.9309801994,10070.1629774898,Knowsley 003B,E08000011,Knowsley,74.948,0.418,0.386,75.553,2.389,1.107,19.812,27.793,0.467,0.419,1.26,0.603,-0.241,1.312,0.344,0.673,5319.99643257835,1413.09196652099,1261.53347086663,-0.00134539321154516,9.72979083105876e-05,1548.92629787415,0,0,45.4
E01006418,Knowsley,1317.66666666667,7,3,0,72,0,0,0,2,5,0,0,0,2,1,0,0,0,0,0,0,0,0,9,19,8,14,10,5,4,3,341662.7485,397114.953,10,5422.54671851346,21822.7664149956,7852.14452716333,7660.06084463178,9605.93177414147,8710.02076705107,6374.04473144494,4417.75585602702,9535.44450350694,10737.4398150332,6817.1606556147,1767.04090175109,12608.3778944185,8982.23579664112,18900.6287640772,15252.5718776035,13003.0647805608,9670.73857853998,16072.5205234419,9632.07793157269,15199.9417168951,6606.43021761532,5429.54178925668,21277.1724822358,9481.54520161984,8658.19870817552,12661.3862853904,7531.02355821913,7318.2412142321,17494.9071914811,1591.86967399331,12341.7320364008,19719.2294731782,9970.41477659734,Knowsley 005B,E08000011,Knowsley,63.011,0.345,0.285,63.647,1.939,0.362,25.029,39.867,0.418,0.407,1.022,0.557,0.365,0.706,0.917,0.554,5422.54671851346,1767.04090175109,1591.86967399331,-0.00132532807456921,9.82226120230289e-05,1473.57134997298,0,0,40
E01006419,Knowsley,1402.33333333333,21,0,0,26,4,12,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,5,2,1,0,0,344297.3749,385949.572000001,0,12701.4232131173,33204.2133289387,13709.436660626,13616.7854509101,10508.4570483456,2809.55014817834,9050.20732049393,10341.6848327203,8527.41891946958,8748.5619686969,4887.48036828021,13221.2121147158,1278.26882490964,16447.9158754266,10174.1825702186,7047.16504044962,12861.2056064635,11582.0432256971,16237.906479935,12046.8120261398,6957.08665655228,5122.32131118845,6888.96390530826,32665.5313945282,17088.9748863956,2889.13177054144,3923.39425228831,13610.235004416,10380.4285844648,17382.2975292053,13062.5481972536,12307.0764396154,10251.3128312579,10263.9464478201,Knowsley 019A,E08000011,Knowsley,17.962,0.074,0.081,11.481,0.501,0.084,33.441,15.232,0.055,0.153,-0.426,0.29,1.329,-1.756,-0.145,0.122,2809.55014817834,1278.26882490964,2889.13177054144,-0.00108033695503179,9.20791668643709e-05,1649.52284553314,0,0,2.3
E01006420,Knowsley,2415,17,1,0,20,3,6,0,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,6,3,0,2,1,345369.7759,386309.8268,0,13131.098992309,33234.1516437116,14302.6416060258,14198.5211661644,11353.389166818,3099.16517685314,9638.84753218036,10732.9459426767,9413.87937588003,9718.3924495165,4647.29239697905,13188.1575931371,1328.79390509552,16979.4410089914,9293.4892422824,6029.54115146575,13843.3174081078,10676.3985882984,15155.2626559826,11156.8549913628,5940.84356099364,4873.71820441538,7238.17797943706,32690.8161587465,17620.5877753483,3212.14875079322,5053.30981823515,14181.5601082992,11044.1875505937,18421.8097381297,13001.0642821521,13271.4061560831,9494.24413735715,11142.1406795514,Knowsley 017A,E08000011,Knowsley,16.711,0.07,0.058,6.883,0.001,0.751,25.676,35.881,0.065,0.148,-0.673,0.244,0.886,-1.841,0.555,1.039,3099.16517685314,1328.79390509552,3212.14875079322,-0.00108145514789097,9.21148399773626e-05,2250.0353864371,0,0,1.9
E01006421,Knowsley,1103.33333333333,19,0,0,11,0,2,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,1,0,0,344128.8697,386444.6043,0,12210.5406734737,32681.2957802006,13256.3602810559,13160.4803175475,10152.7127063833,2287.93641999871,8592.51257437289,9843.04972065854,8194.26619973724,8474.52027517524,4396.55214650714,12699.8594601419,1771.03568652826,15979.8411387396,10497.6379416494,7275.93063801167,12598.1399935211,11291.1718497841,16101.2116328355,11745.5355225894,7187.01217352424,4631.62870892301,6381.2591975204,32142.6062761721,16621.1228782338,2369.51621749997,3984.96357643681,13151.1162044285,9947.01564709634,17174.6226727909,12542.436017796,12029.443244563,10632.6304362241,9926.88476190805,Knowsley 018A,E08000011,Knowsley,12.545,0.058,0.045,8.732,0.489,-1.191,35.141,8.253,0.108,0.076,-0.707,0.276,1.465,-2.107,-1.2,0.148,2287.93641999871,1771.03568652826,2369.51621749997,-0.00108471839811634,9.28513037198882e-05,1768.89721678692,0,0,2.1
